LGA,Rep_DS,State,U5_coverage,adult_coverage,simday,duration,year,round,severe_cases,start_day_override
Aba North,Ngor-Okpala,NA,0.283373403,0.283373403,0,196,2020,1,0.49,1
Aba North,Ngor-Okpala,NA,0.297542073,0.297542073,196,154,2020,2,0.539,1
Aba North,Ngor-Okpala,NA,0.300375807,0.300375807,350,212,2021,3,0.588,1
Aba North,Ngor-Okpala,NA,0.303209541,0.303209541,562,154,2021,4,0.637,1
Aba North,Ngor-Okpala,NA,0.306043275,0.306043275,716,202,2022,5,0.686,1
Aba North,Ngor-Okpala,NA,0.308877009,0.308877009,918,159,2022,6,0.735,1
Aba North,Ngor-Okpala,NA,0.311710743,0.311710743,1077,219,2023,7,0.784,1
Aba North,Ngor-Okpala,NA,0.317378211,0.317378211,1296,136,2023,8,0.8,1
Aba North,Ngor-Okpala,NA,0.425060105,0.425060105,1432,218,2024,9,0.8,1
Aba North,Ngor-Okpala,NA,0.566746806,0.566746806,1650,151,2024,10,0.8,1
Aba North,Ngor-Okpala,NA,0.708433508,0.708433508,1801,185,2025,11,0.8,1
Aba North,Ngor-Okpala,NA,0.8,0.8,1986,183,2025,12,0.8,1
Aba South,Ngor-Okpala,NA,0.283373403,0.283373403,0,196,2020,1,0.8,1
Aba South,Ngor-Okpala,NA,0.297542073,0.297542073,196,154,2020,2,0.49,1
Aba South,Ngor-Okpala,NA,0.300375807,0.300375807,350,212,2021,3,0.539,1
Aba South,Ngor-Okpala,NA,0.303209541,0.303209541,562,154,2021,4,0.588,1
Aba South,Ngor-Okpala,NA,0.306043275,0.306043275,716,202,2022,5,0.637,1
Aba South,Ngor-Okpala,NA,0.308877009,0.308877009,918,159,2022,6,0.686,1
Aba South,Ngor-Okpala,NA,0.311710743,0.311710743,1077,219,2023,7,0.735,1
Aba South,Ngor-Okpala,NA,0.317378211,0.317378211,1296,136,2023,8,0.784,1
Aba South,Ngor-Okpala,NA,0.425060105,0.425060105,1432,218,2024,9,0.8,1
