,LGA,repDS,year,LGA_old,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,mortality_rate,kill_rate,block_initial,round,peak,simday,MapB_mix,llin_MapB
1,Aba North,Ngor-Okpala,2020,Aba North,0.442191686,0.550997398,0.41082044,0.381014728,0.319067389,0.393201897,0.53,1,june,162,CM+IPTp+Urban-LLINs+IPTi,itn 
2,Aba North,Ngor-Okpala,2023,Aba North,0.442191686,0.550997398,0.41082044,0.381014728,0.319067389,0.393201897,0.53,2,june,1257,CM+IPTp+Urban-LLINs+IPTi,itn 
3,Aba South,Ngor-Okpala,2020,Aba South,0.519103045,0.512295324,0.290569447,0.347812688,0.311454386,0.38693958,0.53,1,june,162,CM+IPTp+Urban-LLINs+IPTi,itn 
4,Aba South,Ngor-Okpala,2023,Aba South,0.519103045,0.512295324,0.290569447,0.347812688,0.311454386,0.38693958,0.53,2,june,1257,CM+IPTp+Urban-LLINs+IPTi,itn 
5,Arochukwu,Ngor-Okpala,2020,Arochukwu,0.491769323,0.392560782,0.287682113,0.390755546,0.431823298,0.485441926,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn 
6,Arochukwu,Ngor-Okpala,2023,Arochukwu,0.491769323,0.392560782,0.287682113,0.390755546,0.431823298,0.485441926,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn 
7,Bende,Ngor-Okpala,2020,Bende,0.30540733,0.304789524,0.119318166,0.217697534,0.451630723,0.501154968,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn 
8,Bende,Ngor-Okpala,2023,Bende,0.30540733,0.304789524,0.119318166,0.217697534,0.451630723,0.501154968,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn 
9,Ikwuano,Ngor-Okpala,2020,Ikwuano,0.471604937,0.388953499,0.510086454,0.504367812,0.469780688,0.51532143,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn 
10,Ikwuano,Ngor-Okpala,2023,Ikwuano,0.471604937,0.388953499,0.510086454,0.504367812,0.469780688,0.51532143,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn 
11,Isiala-Ngwa North,Ngor-Okpala,2020,Isiala-Ngwa North,0.05147855,0.15522763,0.086356414,0.071808278,0.347639146,0.416760484,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn 
12,Isiala-Ngwa North,Ngor-Okpala,2023,Isiala-Ngwa North,0.05147855,0.15522763,0.086356414,0.071808278,0.347639146,0.416760484,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn 
13,Isiala-Ngwa South,Ngor-Okpala,2020,Isiala-Ngwa South,0.12523953,0.092253568,0.263166845,0.141460211,0.381316588,0.444481729,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn 
14,Isiala-Ngwa South,Ngor-Okpala,2023,Isiala-Ngwa South,0.12523953,0.092253568,0.263166845,0.141460211,0.381316588,0.444481729,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn 
15,Isuikwato,Ngor-Okpala,2020,Isuikwato,0.54291498,0.183908046,0.12605459,0.276299231,0.414408176,0.471442169,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn 
16,Isuikwato,Ngor-Okpala,2023,Isuikwato,0.54291498,0.183908046,0.12605459,0.276299231,0.414408176,0.471442169,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn 
17,Obi Nwa,Ngor-Okpala,2020,Obi Nwa,0.36,0.56,0.381818182,0.4125,0.339144556,0.409752288,0.53,1,june,162,CM+IPTp+Urban-LLINs+IPTi,itn 
